Time----------,Event----------,Altitude----------,Velocity----------,Acceleration----------,Latitude----------,Longitude----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
00:01:42:402,,27126.3,-155.726,66146.1,43.8006,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:43:411,,26975.3,-150.944,66490.8,43.8011,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:44:425,,26845.3,-130.029,65022.8,43.8015,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:45:431,,26711.3,-134.011,65569.1,43.8018,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:46:435,,26578,-133.344,65815.9,43.8021,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:47:444,,26419.4,-158.535,65117.1,43.8024,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:48:457,,26283.7,-135.686,64767.1,43.8028,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:49:470,,26142,-141.775,65359.6,43.8032,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:50:502,,26015.2,-126.813,64870.9,43.8035,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:51:517,,25872.5,-142.606,65310,43.8038,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:52:530,,25725.5,-147.042,64915.9,43.8041,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:53:538,,25589.6,-135.931,65882.1,43.8044,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:54:551,,25440.4,-149.18,66171.3,43.8048,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:55:565,,25302.2,-138.157,12880.8,43.8051,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:56:578,,25181.5,-120.766,66058.1,43.8055,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:57:592,,25036.7,-144.792,66790.6,43.8057,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:58:607,,24896.2,-140.434,65870.2,43.806,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:59:609,,24763.7,-132.565,66289.4,43.8063,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:00:613,,24631.8,-131.924,64847.3,43.8067,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:01:638,,24504.7,-127.041,13122.9,43.807,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:02:644,,24383.9,-120.813,65098,43.8072,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:03:660,,24280.5,-103.432,64880.3,43.8075,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:04:662,,24088,-192.452,65835.2,43.8077,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:05:663,,23970.4,-117.604,63591.2,43.8081,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:06:676,,23864.4,-106.037,65737.4,43.8084,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:07:677,,23684.4,-179.946,65640.4,43.8087,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:08:701,,23587,-97.4095,66037,43.8089,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:09:703,,23419.8,-167.26,66250.2,43.8091,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:10:719,,23303.6,-116.142,66027.7,43.8095,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:11:724,,23150.9,-152.751,13238.3,43.8098,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:12:737,,23068.1,-82.7811,66095.9,43.8101,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:13:751,,22918,-150.122,65802.3,43.8103,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:14:973,,22798.6,-119.381,66746,43.8105,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:15:978,,22620.8,-177.783,12420.4,43.8108,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:16:986,,22512.6,-108.233,66092,43.8111,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:18:097,,22382.5,-130.113,65636.7,43.8115,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:19:098,,22247.7,-134.727,64678.2,43.8117,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:20:114,,22123.4,-124.337,65102.3,43.8119,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:21:127,,22013.8,-109.554,66075.1,43.8122,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:22:138,,21856.4,-157.418,65575.6,43.8126,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:23:153,,21730.6,-125.811,65534.8,43.8129,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:24:163,,21600.9,-129.711,12910.5,43.8132,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:25:176,,21473.7,-127.209,65269.8,43.8134,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:26:178,,21355.3,-118.42,12663.1,43.8136,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:27:186,,21227.9,-127.36,13280.6,43.8138,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:28:200,,21083,-144.94,66233.1,43.8142,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:29:218,,20969.9,-113.048,65385.3,43.8144,-120.655,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:30:228,,20849.3,-120.665,66454.8,43.8147,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:31:239,,20722.9,-126.33,65191.5,43.8149,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:32:252,,20590.4,-132.532,66254.3,43.8151,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:33:253,,20473.2,-117.218,66465.2,43.8155,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:34:261,,20332.7,-140.511,64995,43.8158,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:35:274,,20235.9,-96.7292,64698.8,43.8161,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:36:287,,20139.5,-96.3999,65742.5,43.8163,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:37:301,,19997.1,-142.482,65268,43.8165,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:38:322,,19845.7,-151.356,65879.7,43.8169,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:39:329,,19725.6,-120.149,66715.7,43.8172,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:40:339,,19616.6,-108.95,12582.7,43.8175,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:41:344,,19501.6,-115.045,66409.2,43.8178,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:42:349,,19369.3,-132.26,13711.8,43.818,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:43:353,,19272.3,-97.0329,65147.1,43.8182,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:44:371,,19139.9,-132.373,13177.6,43.8186,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:45:381,,19005.2,-134.67,13737.6,43.8189,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:46:383,,18865.4,-139.828,66329,43.8191,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:47:397,,18739.5,-125.898,13131.4,43.8193,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:48:418,,18623.3,-116.166,66432,43.8195,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:49:433,,18488.8,-134.555,65795.3,43.8198,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:50:437,,18378.2,-110.606,64887.8,43.8201,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:51:438,,18260.6,-117.551,65108.3,43.8204,-120.653,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:52:447,,18164.4,-96.1813,65600.6,43.8206,-120.653,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:53:460,,18048.9,-115.558,65535.5,43.8208,-120.653,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:54:473,,17897.9,-150.935,65494.2,43.821,-120.653,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:55:486,,17796.8,-101.116,13274.9,43.8213,-120.653,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:56:498,,17670,-126.871,66469.6,43.8216,-120.653,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:57:516,,17548.6,-121.341,12118.9,43.8218,-120.653,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:02:58:526,,17427.8,-120.835,66085.4,43.822,-120.653,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
