,,Max Altitude,Max Velocity,,Max Acceleration(G)
,,620.335,621.582,,1.12587
Time----------,Event----------,Altitude----------,Velocity----------,Acceleration(ft/s)----------,Acceleration(G)----------,High Acceleration(G)----------,Latitude(DD)----------,Longitude(DD)----------,Latitude(DDM)----------,Longitude(DDM)----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
-00:01:09:950,,-0.635493,0,32.3479,1.0054,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8458',-1,0.9375,-0.125,0.9375,-1,-0.125,0,4.28084e-313,nan
-00:01:10:866,,-0.317748,0.317745,32.3017,1.00397,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8458',-2,0.875,0,0.875,-2,0,0,4.28084e-313,nan
-00:01:11:782,,0,0.317748,32.1933,1.0006,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8457',-0.5625,1,-0.3125,1,-0.5625,-0.3125,0,4.28084e-313,nan
-00:01:12:697,,-0.317748,-0.317748,32.3118,1.00428,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8457',0.0625,1,-0.1875,1,0.0625,-0.1875,0,4.28084e-313,nan
-00:01:13:614,,-1.27097,-0.953225,32.1595,0.999549,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8457',-0.4375,1,-0.0625,1,-0.4375,-0.0625,0,4.28084e-313,nan
-00:01:14:530,,-1.27097,0,32.2047,1.00095,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8458',-0.5625,0.9375,-0.125,0.9375,-0.5625,-0.125,0,4.28084e-313,nan
-00:01:15:446,,-0.317748,0.953225,32.199,1.00078,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8458',-0.1875,0.9375,-0.125,0.9375,-0.1875,-0.125,0,4.28084e-313,nan
-00:01:16:346,,-0.317748,0,32.1742,1.00001,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8458',-0.9375,0.8125,-0.125,0.8125,-0.9375,-0.125,0,4.28084e-313,nan
-00:01:17:262,,-0.635493,-0.317745,32.2539,1.00248,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8458',-0.125,0.875,-0.125,0.875,-0.125,-0.125,0,4.28084e-313,nan
-00:01:18:178,,-0.317748,0.317745,32.2469,1.00227,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8458',-0.875,0.9375,0,0.9375,-0.875,0,0,4.28084e-313,nan
