,,Max Altitude,Max Velocity,,Max Acceleration(G)
,,48.181,2.77003,,1.87612
Time----------,Event----------,Altitude----------,Velocity----------,Acceleration(ft/s)----------,Acceleration(G)----------,High Acceleration(G)----------,Latitude(DD)----------,Longitude(DD)----------,Latitude(DDM)----------,Longitude(DDM)----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
00:01:28:582,,46.2413,1.38538,33.2933,1.03479,0,44.5618,-123.278,N 44° 33.7078',W 123° 16.7026',8.375,42.3125,49.625,42.3125,8.375,49.625,0,1.49525e-305,5.34272e-317
00:01:29:495,,48.181,1.93963,39.8043,1.23716,0,44.5618,-123.278,N 44° 33.7068',W 123° 16.7031',-54.8125,20.125,63.375,20.125,-54.8125,63.375,0,1.49525e-305,5.34272e-317
00:01:30:409,Landing,47.6268,-0.554192,32.6004,1.01325,0,44.5618,-123.278,N 44° 33.7064',W 123° 16.7032',1.625,14.8125,16.1875,14.8125,1.625,16.1875,0,1.49525e-305,5.34272e-317
00:01:31:322,Landing,46.7955,-0.831271,32.3153,1.00439,0,44.5618,-123.278,N 44° 33.7063',W 123° 16.7041',-13.6875,5.5625,-0.9375,5.5625,-13.6875,-0.9375,0,1.49525e-305,5.34272e-317
00:01:32:235,,47.6268,0.831271,35.7784,1.11203,0,44.5618,-123.278,N 44° 33.7066',W 123° 16.7045',-33.1875,-3.8125,17.6875,-3.8125,-33.1875,17.6875,0,1.49525e-305,5.34272e-317
00:01:33:149,Landing,46.5184,-1.10836,30.9151,0.960871,0,44.5618,-123.278,N 44° 33.7064',W 123° 16.7048',26,-10.125,-9.375,-10.125,26,-9.375,0,1.49525e-305,5.34272e-317
00:01:34:062,,47.6268,1.10836,32.6714,1.01546,0,44.5618,-123.278,N 44° 33.7063',W 123° 16.7047',-7.375,5.8125,13.375,5.8125,-7.375,13.375,0,1.49525e-305,5.34272e-317
00:01:34:975,Landing,47.3497,-0.277092,34.7437,1.07987,0,44.5618,-123.278,N 44° 33.7062',W 123° 16.7051',-1.4375,1.75,86.4375,1.75,-1.4375,86.4375,0,1.49525e-305,5.34272e-317
00:01:35:889,Landing,46.7955,-0.554178,28.6434,0.890267,0,44.5618,-123.278,N 44° 33.706',W 123° 16.7054',-22.4375,14.5625,66.4375,14.5625,-22.4375,66.4375,0,1.49525e-305,5.34272e-317
00:01:36:797,Landing,46.2413,-0.554169,37.16,1.15497,0,44.5618,-123.278,N 44° 33.7058',W 123° 16.7062',28.9375,0.0625,5.9375,0.0625,28.9375,5.9375,0,1.49525e-305,5.34272e-317
